City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hellvik,75,NO,1551828964,93,59.92,5.78,39.99,19.46
Cervo,20,BR,1551828988,92,-22.19,-46.24,64.58,2.71
Teluknaga,75,ID,1551828975,88,-6.1,106.64,77.0,8.05
Kodiak,40,US,1551828911,24,39.95,-94.76,21.99,16.11
Khatanga,80,RU,1551828989,73,71.98,102.47,-3.11,7.74
Kaitangata,0,NZ,1551828943,73,-46.28,169.85,70.0,5.01
Hobart,75,AU,1551828794,50,-42.88,147.33,57.99,6.93
Longyearbyen,20,NO,1551826200,76,78.22,15.63,-9.41,5.82
Saint-Philippe,90,CA,1551828976,78,45.36,-73.48,17.6,7.85
Albany,75,US,1551828910,38,42.65,-73.75,26.01,11.41
Yeppoon,75,AU,1551826800,69,-23.13,150.74,80.6,10.29
Faanui,80,PF,1551828993,100,-16.48,-151.75,84.33,5.73
Saskylakh,64,RU,1551828917,60,71.97,114.09,-7.56,8.41
Butaritari,92,KI,1551828994,100,3.07,172.79,74.48,2.04
Asyut,0,EG,1551823200,71,27.18,31.19,50.0,11.41
Bilibino,92,RU,1551828994,74,68.06,166.44,-0.9,3.15
Kenai,90,US,1551828724,68,60.55,-151.26,34.0,11.41
Deputatskiy,8,RU,1551828996,47,69.3,139.9,-30.51,2.71
Naze,12,NG,1551828996,95,5.43,7.07,74.21,3.94
Tiksi,48,RU,1551828795,72,71.64,128.87,3.2,9.75
Sibolga,0,ID,1551828997,100,1.74,98.78,65.34,2.15
Pevek,92,RU,1551828771,95,69.7,170.27,6.35,3.94
Port Elizabeth,1,US,1551828984,58,39.31,-74.98,33.8,4.7
Mecca,0,SA,1551828998,77,21.43,39.83,48.2,3.71
Anaco,0,VE,1551828999,44,9.43,-64.46,83.97,14.34
Meulaboh,8,ID,1551828999,100,4.14,96.13,78.84,5.17
Kavieng,20,PG,1551829001,98,-2.57,150.8,85.05,4.16
Chokurdakh,20,RU,1551828829,35,70.62,147.9,-23.85,3.04
Bambous Virieux,20,MU,1551826800,74,-20.34,57.76,80.6,3.36
Wajid,0,SO,1551829003,52,3.81,43.25,77.94,9.86
Pudozh,0,RU,1551829003,80,61.81,36.54,11.3,14.9
Port Alfred,12,ZA,1551828924,92,-33.59,26.89,69.01,5.99
Saint George,40,GR,1551826200,87,39.45,22.34,42.8,4.72
Sitka,0,US,1551828695,43,37.17,-99.65,30.0,5.01
Boddam,75,GB,1551828963,100,57.47,-1.78,39.0,3.36
Geraldton,75,CA,1551826800,70,49.72,-86.95,1.4,6.93
Saldanha,92,PT,1551829006,89,41.42,-6.55,51.71,16.8
Mataura,0,NZ,1551828610,61,-46.19,168.86,78.01,4.0
Provideniya,0,RU,1551826800,73,64.42,-173.23,26.6,6.71
Klaksvik,44,FO,1551828000,74,62.23,-6.59,37.4,3.36
Ko Samui,20,TH,1551828600,94,9.54,99.94,77.0,2.93
Bireun,36,ID,1551828744,100,5.2,96.7,80.73,0.69
Hobyo,32,SO,1551829012,93,5.35,48.53,75.78,12.77
Fairbanks,40,US,1551828951,53,64.84,-147.72,30.0,3.36
Pisco,40,PE,1551826800,30,-13.71,-76.2,71.6,23.04
Marawi,0,PH,1551828623,81,8.0,124.29,75.99,5.01
Guerrero Negro,68,MX,1551829031,56,27.97,-114.04,69.57,6.73
Turukhansk,80,RU,1551829032,91,65.8,87.96,13.46,14.0
Port-Gentil,20,GA,1551826800,83,-0.72,8.78,84.2,12.75
Homer,90,US,1551828753,65,59.64,-151.54,41.0,10.29
Norman Wells,20,CA,1551826800,57,65.28,-126.83,19.4,8.05
Payo,88,ID,1551829037,96,-3.75,103.64,73.58,3.94
Hondagua,0,PH,1551829037,91,13.95,122.24,77.49,4.16
Yuanping,0,CN,1551828863,46,38.72,112.71,19.8,3.6
Lagoa,75,PT,1551829028,82,37.14,-8.45,60.8,11.41
Phangnga,20,TH,1551826800,83,8.45,98.53,75.2,3.38
Stawell,0,AU,1551828650,53,-37.06,142.77,57.0,11.99
Huarmey,48,PE,1551829042,73,-10.07,-78.15,72.68,3.38
Arraial do Cabo,64,BR,1551828882,92,-22.97,-42.02,80.64,13.67
Maniitsoq,20,GL,1551829052,70,65.42,-52.9,12.65,5.95
Ekangala,0,ZA,1551828640,93,-25.66,28.73,66.99,7.85
Penzance,75,GB,1551828898,93,50.12,-5.53,52.0,25.28
Tabuk,0,PH,1551829067,66,17.41,121.44,68.9,2.15
Missoula,1,US,1551828991,52,46.87,-114.0,26.01,1.92
Rodrigues Alves,40,BR,1551826800,79,-7.74,-72.65,84.2,0.47
Tuatapere,24,NZ,1551828610,61,-46.13,167.69,78.01,4.0
San Quintin,0,PH,1551829096,56,17.54,120.52,76.05,4.27
Goure,0,NE,1551829099,22,13.98,10.27,73.8,9.75
Outjo,12,NA,1551829100,80,-20.11,16.16,64.71,3.49
Camopi,56,GF,1551829100,78,3.17,-52.33,78.35,3.71
Shingu,75,JP,1551826800,57,33.72,135.99,51.8,9.17
Beringovskiy,44,RU,1551829103,97,63.05,179.32,24.48,3.04
Indramayu,64,ID,1551829103,92,-4.05,103.78,68.04,2.26
Port Macquarie,12,AU,1551828845,65,-31.43,152.91,84.99,4.7
Ngunguru,0,NZ,1551829084,61,-35.62,174.5,73.99,1.99
Clyde River,75,CA,1551826800,83,70.47,-68.59,-5.81,4.94
Maple Creek,0,CA,1551829105,72,49.91,-109.46,12.06,8.63
Chuy,0,UY,1551828826,94,-33.69,-53.46,68.04,8.41
Aklavik,5,CA,1551826800,61,68.22,-135.01,17.6,4.7
Grindavik,75,IS,1551828256,100,63.84,-22.43,28.4,3.36
Hasaki,75,JP,1551826800,87,35.73,140.83,48.2,2.24
Malkangiri,0,IN,1551829108,91,18.35,81.9,64.44,2.37
The Pas,90,CA,1551826800,60,53.82,-101.24,8.6,13.87
Ponta do Sol,48,BR,1551829109,85,-20.63,-46.0,71.06,3.71
Siavonga,48,ZW,1551829110,87,-16.54,28.71,72.81,4.72
Castro,90,CL,1551826800,100,-42.48,-73.76,55.4,16.11
Thompson,75,CA,1551826800,60,55.74,-97.86,5.0,9.17
Hofn,12,IS,1551829115,100,64.25,-15.21,29.88,8.41
Rochegda,80,RU,1551828883,79,62.67,43.41,17.55,9.86
San Patricio,24,PY,1551828822,75,-26.98,-56.83,78.3,5.61
Beyneu,44,KZ,1551829120,83,45.32,55.19,27.63,3.15
Mopipi,8,BW,1551829120,65,-21.2,24.86,70.65,7.74
Port Blair,88,IN,1551828908,100,11.67,92.75,80.6,5.61
Oussouye,0,SN,1551823200,68,12.49,-16.54,80.6,6.93
San Vicente,20,SV,1551828926,62,13.64,-88.78,86.0,6.93
Faya,40,SA,1551826800,87,18.39,42.45,57.2,8.05
Gigmoto,88,PH,1551829124,100,13.78,124.39,77.31,5.39
Renukut,0,IN,1551829124,94,24.22,83.04,56.48,2.82
Ayna,0,ES,1551828610,71,38.55,-2.07,51.8,6.93
Kieta,44,PG,1551829125,95,-6.22,155.63,83.52,4.72
Utena,20,LT,1551829126,80,55.5,25.6,22.73,10.09
Vao,0,EE,1551828855,73,59.1,26.19,13.68,9.53
Grong,0,NO,1551829126,70,64.47,12.32,-7.16,3.15
Palauig,0,PH,1551829127,85,15.44,119.9,76.46,5.17
Constitucion,5,MX,1551828617,7,23.99,-104.67,86.0,12.75
Lodeynoye Pole,56,RU,1551829137,72,60.73,33.55,13.95,10.76
Ushtobe,12,KZ,1551829137,71,45.25,77.98,22.32,2.37
Boa Viagem,24,BR,1551829138,90,-5.13,-39.73,72.95,3.71
Druzhba,0,UA,1551828983,67,49.36,25.65,39.99,1.01
Arlit,0,NE,1551829139,50,18.74,7.39,60.39,3.38
Vacaria,24,BR,1551829031,89,-28.51,-50.94,70.0,3.0
Bhag,0,PK,1551829140,76,29.04,67.82,54.9,5.61
Haines Junction,0,CA,1551829141,72,60.75,-137.51,8.06,2.82
New Norfolk,75,AU,1551829040,50,-42.78,147.06,57.99,6.93
Harper,1,US,1551829041,33,30.3,-99.24,46.99,8.05
Lompoc,90,US,1551828983,93,34.64,-120.46,57.2,9.17
Lata,0,IN,1551829143,78,30.78,78.62,30.11,2.71
Manggar,24,ID,1551829143,99,-2.88,108.27,76.86,2.93
Salinopolis,44,BR,1551829085,100,-0.61,-47.36,79.02,6.29
Tuktoyaktuk,20,CA,1551826800,78,69.44,-133.03,8.6,6.93
Otane,0,NZ,1551827355,46,-39.89,176.62,80.01,2.82
Lima,0,PE,1551828728,69,-12.06,-77.04,78.01,8.05
Linqiong,40,CN,1551826800,81,30.42,103.46,51.8,2.24
Hirara,75,JP,1551826800,88,24.8,125.28,69.8,12.75
Poum,36,MK,1551829147,93,41.28,20.71,31.59,2.37
Pangnirtung,75,CA,1551826800,83,66.15,-65.72,-4.01,4.7
Rabo de Peixe,40,PT,1551829117,62,37.8,-25.58,55.4,12.75
Verkhoyansk,12,RU,1551829160,57,67.55,133.39,-20.7,2.71
Hami,76,CN,1551829160,46,42.84,93.51,42.21,14.0
Mount Gambier,40,AU,1551826800,62,-37.83,140.78,55.4,16.11
Altay,36,CN,1551829162,53,47.83,88.13,5.63,2.15
Rio Pomba,40,BR,1551829095,83,-21.28,-43.18,75.99,3.36
Wanning,75,AT,1551829115,86,48.64,13.53,41.0,5.82
Pacific Grove,75,US,1551829156,67,36.62,-121.92,60.01,3.36
Mayo,5,CA,1551826800,46,63.59,-135.9,10.4,5.82
Nome,1,US,1551829059,34,30.04,-94.42,50.0,11.41
Lebu,0,ET,1551828841,89,8.96,38.73,45.63,1.81
Baijiantan,76,CN,1551829165,66,45.63,85.18,13.91,3.04
Dolinsk,40,RU,1551826800,86,47.32,142.8,26.6,11.18
Golfito,24,CR,1551829166,87,8.64,-83.17,82.8,4.27
Ndjole,88,GA,1551829166,95,-0.18,10.76,74.07,2.71
Atasu,56,KZ,1551829167,69,48.68,71.64,10.76,3.27
Tual,88,ID,1551829167,100,-5.67,132.75,82.17,5.39
Aykhal,76,RU,1551829168,82,65.95,111.51,18.54,7.74
Antofagasta,75,CL,1551826800,73,-23.65,-70.4,69.8,13.87
Krasnaya Gorbatka,92,RU,1551829169,94,55.87,41.76,36.5,16.24
Takapau,0,NZ,1551829156,43,-40.02,176.35,80.01,8.01
Ilinskiy,40,RU,1551828082,80,55.62,38.12,39.99,8.95
Saint-Augustin,0,FR,1551829148,50,44.83,-0.61,55.4,14.99
Tezu,92,IN,1551829171,100,27.93,96.16,46.17,1.59
Conceicao do Araguaia,20,BR,1551829047,93,-8.26,-49.26,72.54,2.93
Kelvington,56,CA,1551829172,86,52.16,-103.52,10.89,11.99
Aleksandrovskoye,40,RU,1551828937,85,56.74,85.39,21.0,6.71
Makakilo City,75,US,1551828937,47,21.35,-158.09,78.8,11.41
Bathsheba,20,BB,1551826800,69,13.22,-59.52,78.8,18.34
East London,20,ZA,1551829174,100,-33.02,27.91,75.42,22.62
Hermanus,0,ZA,1551828716,79,-34.42,19.24,69.01,7.0
Whitehorse,5,CA,1551828768,41,60.72,-135.06,19.4,13.87
Ratnagiri,0,IN,1551829176,100,16.98,73.3,73.08,7.96
Ybycui,0,PY,1551829176,75,-26.02,-57.05,79.16,4.72
Elat,80,CM,1551829177,97,2.91,11.16,69.26,2.15
Zyryanka,68,RU,1551829177,69,65.73,150.89,-5.45,3.38
Bjornevatn,20,NO,1551828000,84,69.67,29.98,14.0,23.04
Burns Lake,0,CA,1551829178,43,54.23,-125.76,22.28,4.16
Dukstas,32,LT,1551829179,81,55.53,26.33,23.4,10.98
Rawson,24,AR,1551829179,30,-43.3,-65.11,66.65,8.41
Sao Filipe,0,CV,1551829180,97,14.9,-24.5,70.38,17.81
Petropavlovsk-Kamchatskiy,76,RU,1551826800,60,53.05,158.65,10.4,5.5
Obzor,20,BG,1551828657,71,42.82,27.88,53.6,10.29
Batagay-Alyta,64,RU,1551829181,52,67.8,130.41,-11.88,2.93
Morgan City,1,US,1551829099,37,29.7,-91.21,50.0,6.93
Porto Novo,40,BR,1551826800,83,-23.68,-45.44,73.4,1.14
Zhigalovo,44,RU,1551829183,67,54.81,105.15,12.6,1.92
Huntingdon,20,GB,1551829172,87,52.33,-0.18,48.99,11.41
Rocha,0,UY,1551829184,75,-34.48,-54.34,63.63,6.62
Bahia Blanca,44,AR,1551828953,51,-38.72,-62.27,71.6,9.53
Loudeac,100,FR,1551829162,76,48.18,-2.75,52.0,18.34
Cabo San Lucas,40,MX,1551828937,41,22.89,-109.91,79.0,8.05
Lavrentiya,92,RU,1551828972,98,65.58,-170.99,29.52,9.98
Balagunan,20,PH,1551826800,94,7.49,125.52,75.2,3.36
Yanam,44,IN,1551829187,89,16.73,82.22,77.76,1.25
Iqaluit,5,CA,1551828766,75,63.75,-68.52,-16.01,0.81
Dhidhdhoo,24,MV,1551829188,100,6.88,73.1,82.44,11.54
Lloydminster,5,CA,1551826800,61,53.28,-110.01,12.2,14.99
Nishihara,75,JP,1551829031,81,35.74,139.53,54.0,3.36
Vardo,40,US,1551828811,36,39.62,-77.74,35.6,16.11
Lorengau,20,PG,1551829178,99,-2.02,147.27,83.34,3.83
Champerico,40,MX,1551825960,60,16.38,-93.6,75.2,26.4
Noumea,0,NC,1551826800,62,-22.28,166.46,87.8,5.82
Lisakovsk,80,KZ,1551829191,87,52.55,62.49,26.55,9.42
Yulara,0,AU,1551826800,38,-25.24,130.99,77.0,16.11
Medea,20,DZ,1551826800,93,36.27,2.77,50.0,2.24
Barcelona,40,ES,1551828907,81,41.38,2.18,55.0,3.36
Vila Franca do Campo,40,PT,1551829177,62,37.72,-25.43,55.4,12.75
Bayshore Gardens,90,US,1551829191,76,27.43,-82.59,60.01,8.05
Margate,75,AU,1551829040,50,-43.03,147.26,57.99,6.93
Carauari,24,BR,1551829194,79,-4.88,-66.9,82.08,7.4
Diffa,0,NE,1551829195,23,13.32,12.61,72.72,8.97
College,40,US,1551829124,53,64.86,-147.8,30.0,3.36
Beruwala,8,LK,1551829199,100,6.48,79.98,80.78,2.04
Lamar,1,US,1551826380,78,38.09,-102.62,32.0,11.41
Ahipara,0,NZ,1551829199,68,-35.17,173.16,72.68,0.36
Marzuq,36,YE,1551829200,96,14.4,46.47,56.34,2.82
Tigil,12,RU,1551829200,82,57.8,158.67,9.27,4.83
Dali,68,CN,1551829201,100,25.6,100.24,42.98,1.7
Dingle,36,PH,1551829201,79,11.0,122.67,78.8,12.33
Cayenne,92,GF,1551828600,88,4.94,-52.33,77.0,1.12
Mehamn,90,NO,1551824940,92,71.03,27.85,21.2,20.8
Alofi,40,NU,1551826800,62,-19.06,-169.92,84.2,18.34
Taoudenni,0,ML,1551829255,28,22.68,-3.98,51.3,2.93
Bubaque,0,GW,1551829256,91,11.28,-15.83,78.3,5.17
Lermontovka,0,RU,1551829256,48,47.15,134.34,22.05,7.63
Birecik,75,TR,1551829202,100,37.03,37.98,43.0,2.71
Hibbing,75,US,1551829242,46,47.43,-92.94,10.4,9.17
Presidencia Roque Saenz Pena,8,AR,1551829279,85,-26.79,-60.44,75.69,13.0
Botou,0,CN,1551829279,51,38.08,116.55,38.97,13.44
Calvia,20,ES,1551829269,100,39.57,2.51,55.99,1.12
Ermioni,68,GR,1551829280,93,37.39,23.25,59.31,7.96
Galle,1,US,1551829278,31,29.74,-97.91,48.2,13.87
Sinnai,20,IT,1551828624,87,39.3,9.2,55.4,1.12
Sabha,0,LY,1551829281,51,27.03,14.43,46.71,4.05
High Level,20,CA,1551826800,57,58.52,-117.13,19.4,8.05
Olinda,75,EC,1551828662,78,-2.03,-79.75,82.4,4.7
La Ronge,20,CA,1551826800,51,55.1,-105.3,10.4,12.75
Port Hedland,0,AU,1551826800,79,-20.31,118.58,84.2,6.93
Houma,20,CN,1551829286,81,35.63,111.36,32.49,2.82
Ilulissat,20,GL,1551826200,51,69.22,-51.1,14.0,9.17
Lasa,0,CY,1551828641,81,34.92,32.53,50.0,8.05
Lanxi,92,CN,1551829214,99,29.21,119.46,54.0,3.38
Kerman,0,IR,1551826800,26,30.29,57.06,33.8,6.93
Karratha,0,AU,1551829289,53,-20.74,116.85,85.41,5.17
Fare,36,PF,1551829290,99,-16.7,-151.02,84.51,5.61
Czersk,92,PL,1551829289,10,53.8,17.98,39.0,10.87
Kahului,75,US,1551829230,64,20.89,-156.47,78.01,13.87
Nizhniy Baskunchak,36,RU,1551829291,76,48.22,46.83,37.53,18.48
Richards Bay,20,ZA,1551829292,96,-28.77,32.06,68.58,1.92
Huejuquilla el Alto,0,MX,1551829293,17,22.63,-103.9,75.33,4.83
Marathon,32,CA,1551829233,78,48.72,-86.38,3.96,9.08
Bonga,80,ET,1551829294,96,7.26,36.25,58.23,1.92
Tucurui,100,BR,1551829091,93,-3.77,-49.67,76.1,2.15
Bradeni,0,RO,1551828600,74,46.08,24.83,41.0,4.7
Kangaatsiaq,0,GL,1551829296,100,68.31,-53.46,10.44,8.19
Dasoguz,0,TM,1551826800,80,41.84,59.97,33.8,9.17
Torbay,90,CA,1551829117,73,47.66,-52.73,28.0,21.92
Tubuala,40,PA,1551828653,58,9.52,-79.03,84.2,16.11
Qasigiannguit,20,GL,1551826200,51,68.82,-51.19,14.0,9.17
Anadyr,64,RU,1551828791,85,64.73,177.51,24.8,2.24
Jumla,0,NP,1551829301,96,29.28,82.18,7.2,2.59
Jiuquan,24,CN,1551829305,76,39.73,98.49,17.06,3.38
Lucapa,12,AO,1551829305,94,-8.42,20.74,65.79,3.38
Ambon,92,FR,1551829282,76,47.55,-2.56,53.01,18.34
Airai,48,TL,1551829310,86,-8.93,125.41,75.06,0.47
Codrington,0,AU,1551829289,65,-28.95,153.24,82.0,5.82
Qingdao,0,CN,1551826800,93,36.09,120.35,35.6,2.24
Dubovka,0,RU,1551826800,81,49.06,44.83,41.0,20.13
Chupa,40,PE,1551826800,41,-15.11,-69.99,59.0,13.87
Grand Gaube,20,MU,1551826800,74,-20.01,57.66,80.6,3.36
Mehran,0,IR,1551826800,59,33.12,46.17,37.4,4.7
Melilla,75,EC,1551826800,66,-0.8,-80.23,84.2,4.7
Gunjur,0,GM,1551826800,49,13.18,-16.76,73.4,11.41
Vestmannaeyjar,0,IS,1551829315,100,63.44,-20.27,26.37,7.52
Luderitz,0,NA,1551829072,83,-26.65,15.16,60.71,7.74
Laguna,90,MX,1551825960,41,27.52,-110.01,77.0,3.36
Atambua,76,ID,1551829338,100,-9.11,124.89,79.2,2.82
Paraiso,5,MX,1551829217,7,24.01,-104.61,86.0,12.75
Maningrida,32,AU,1551829339,100,-12.05,134.23,81.36,6.62
Nshamba,76,TZ,1551829339,99,-1.8,31.55,70.88,5.17
Nisia Floresta,20,BR,1551826800,78,-6.09,-35.21,80.6,5.82
Narsaq,56,GL,1551826200,53,60.91,-46.05,26.6,4.7
Pontal do Parana,20,BR,1551829085,83,-25.67,-48.51,82.0,5.82
Bonthe,0,SL,1551829049,86,7.53,-12.5,78.3,4.72
Okhotsk,8,RU,1551829346,90,59.36,143.24,11.03,5.61
Sorland,80,NO,1551829190,100,67.67,12.69,36.05,26.53
Kandrian,64,PG,1551829348,86,-6.21,149.55,82.35,3.38
Iskateley,80,RU,1551829348,78,67.68,53.15,6.12,15.46
Mayumba,92,GA,1551829348,100,-3.44,10.65,78.53,3.04
Martapura,40,ID,1551826800,100,-3.41,114.85,75.2,2.24
Saint-Francois,0,FR,1551826800,80,46.42,3.91,39.2,3.36
Mezhdurechensk,44,RU,1551829350,76,53.69,88.07,10.26,2.15
Sayyan,0,YE,1551829350,87,15.17,44.32,42.26,3.15
Cochirleanca,76,RO,1551829351,55,45.21,27.04,43.83,5.95
Carrollton,1,US,1551829340,29,33.58,-85.08,41.0,10.29
Macapa,75,BR,1551826800,100,0.05,-51.07,75.2,5.82
Tevriz,20,RU,1551829353,83,57.51,72.4,9.5,3.27
Sagaing,0,MM,1551829356,87,21.88,95.98,65.03,2.93
Ibimirim,36,BR,1551829357,84,-8.54,-37.69,72.05,5.17
Coihaique,90,CL,1551826800,66,-45.58,-72.07,55.4,8.05
Uherske Hradiste,48,CZ,1551829328,80,49.07,17.46,41.0,2.24
Biak,12,ID,1551829361,89,-0.91,122.88,81.95,2.37
Soyo,76,AO,1551829298,98,-6.13,12.37,72.95,4.61
Evensk,56,RU,1551829288,100,61.92,159.24,8.28,6.96
Souillac,0,FR,1551829329,58,45.6,-0.6,55.0,13.87
Comodoro Rivadavia,0,AR,1551826800,32,-45.87,-67.48,69.8,16.11
Kathu,0,ZA,1551828683,38,-27.7,23.05,66.99,2.93
Bealanana,92,MG,1551829365,97,-14.54,48.75,65.97,2.37
Sirari,36,KE,1551829368,100,-1.25,34.48,63.36,5.17
Irituia,92,BR,1551829369,97,-1.77,-47.44,74.7,3.94
San Mateo del Mar,0,MX,1551829372,96,16.21,-94.98,77.4,39.73
Tondano,40,ID,1551828600,83,1.3,124.91,82.4,2.24
Horta,8,ES,1551829357,93,41.43,2.16,55.0,4.7
Isangel,75,VU,1551826800,70,-19.55,169.27,87.8,8.05
Quatre Cocos,20,MU,1551826800,74,-20.21,57.76,80.6,3.36
Nelson Bay,0,AU,1551829232,45,-32.72,152.14,91.0,5.82
Lyantonde,64,UG,1551829375,97,-0.41,31.15,61.25,2.93
Kudahuvadhoo,8,MV,1551829376,100,2.67,72.89,82.76,8.63
Inirida,32,CO,1551829376,76,3.87,-67.92,80.78,3.38
Marrakesh,0,MA,1551826800,76,31.63,-7.99,57.2,5.82
Fortuna,75,ES,1551829355,93,38.18,-1.13,57.2,4.7
Mindelo,90,PT,1551829291,100,41.31,-8.72,57.99,21.92
Arica,0,CL,1551826800,64,-18.48,-70.32,73.4,3.36
Salalah,0,OM,1551826200,60,17.01,54.1,75.2,1.12
Piacabucu,92,BR,1551829349,87,-10.41,-36.43,77.22,5.95
Sanghar,0,PK,1551829391,84,28.18,68.31,55.08,2.37
Thunder Bay,75,CA,1551829294,42,48.41,-89.26,6.8,12.75
Chernyshevskiy,36,RU,1551829184,76,63.01,112.47,17.15,9.19
Athabasca,24,CA,1551829393,79,54.72,-113.29,14.22,7.4
Mount Isa,0,AU,1551826800,40,-20.73,139.49,86.0,6.93
Barabai,88,ID,1551829397,99,-2.59,115.38,72.81,1.81
Central Point,90,US,1551829262,70,42.38,-122.91,44.01,1.36
Upernavik,24,GL,1551829296,100,72.79,-56.15,10.58,9.98
Alekseyevka,75,RU,1551826800,94,53.25,50.49,33.8,20.13
Cidreira,76,BR,1551829403,83,-30.17,-50.22,75.96,3.71
Caibarien,75,CU,1551826200,78,22.52,-79.47,75.2,11.41
Krasnotorka,64,UA,1551829316,87,48.68,37.52,41.0,8.52
Byron Bay,40,AU,1551829289,74,-28.65,153.62,84.99,10.29
Keti Bandar,0,PK,1551829405,96,24.14,67.45,71.82,12.33
Parana,40,BR,1551826800,79,-7.52,-72.89,84.2,0.47
Alice Springs,0,AU,1551826800,28,-23.7,133.88,82.4,13.87
Axim,44,GH,1551829410,100,4.87,-2.24,81.9,8.97
Rochelle,90,US,1551829356,56,41.92,-89.07,18.0,19.46
Santa Fe,80,AR,1551829408,79,-31.62,-60.7,75.0,7.63
